书号_x0000__x0000_,商品名称_x0000__x0000__x0000__x0000_,定价名称,总订数称_x0000__x0000_,码洋数称,出版社称_x0000__x0000_,编码社称
9787500799283,儿童文学金牌作家书系--记忆的碎片000选学名家丛书事[美绘版],16.00,1,16,中国少年0牌作家,75007992800016000000
9787500777793,世界畅销儿童文学名著[彩色图文版]--小鹿斑比家丛书事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,17.00,1,17,中国少年0童文学,75007777900017000000
9787514801293,儿童文学伴侣--天光海岸37000000鹿斑,8.00,1,8,少年儿童伴侣--,75148012900008000000
9787500789093,中国历史故事集--东汉故事8000000鹿斑比家,13.50,1,13.5,中国少年0事集-,75007890900013500000
9787514803174,亚森.罗宾探案故事--世界侦探推理名家名作选比家丛书事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,31.00,1,31,少年儿童0探案故,75148031700031000000
9787500793274,第三军团(美绘版)--共和国儿童文学金奖文库比家丛书事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,28.00,1,28,中国少年0美绘版,75007932700028000000
9787514801262,我的小学--向前冲[1年级故事]0000文库比家丛书事,18.00,1,18,少年儿童0-向前,75148012600018000000
9787514804072,丁丁历险记--电影小说本28000000文库,16.00,1,16,少年儿童0--电,75148040700016000000
9787500794882,丁丁历险记--金钳螃蟹贩毒集团00000文库比家丛书事[,20.00,1,20,中国少年0--金,75007948800020000000
9787514802672,最快乐的一天--怪老头儿的动物园0000文库比家丛书事[美绘,10.00,1,10,少年儿童0天--,75148026700010000000
9787514801392,杨老黑作品精选--儿童文学十大青年金作家丛书比家丛书事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,20.00,1,20,少年儿童0精选-,75148013900020000000
9787514806892,阳光阳光--儿童文学伴侣20000000丛书,10.00,1,10,少年儿童0-儿童,75148068900010000000
9787500791409,老舍儿童文学选集正经旗下开市大吉美绘版0丛书比家丛书事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,25.00,1,25,中国少年0学选集,75007914000025000000
9787500783053,聪明在于勤奋天才在于积累--数学大师华罗庚谈怎样学好数学美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,12.50,1,12.5,中国少年0奋天才,75007830500012500000
9787514803143,小王子全译本--世界儿童文学传世经典00庚谈怎样学好数学美绘版]_x0000__x0000_,15.00,1,15,少年儿童0本--,75148031400015000000
9787514802382,儿童文学金牌作家书系--睡尘湖00000庚谈怎样学好数学,19.00,1,19,少年儿童0牌作家,75148023800019000000
9787500793304,小溪流的歌--共和国儿童文学金奖文库美绘版谈怎样学好数学美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,28.00,1,28,中国少年0--共,75007933000028000000
9787514804904,数学花园漫游记--马希文教献给少儿的礼物版谈怎样学好数学美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,15.00,1,15,少年儿童0游记-,75148049000015000000
9787514802894,小狼人2满月48028,15.00,1,15,少年儿童0月48,75148028900015000000
9787514805321,科学社会主义的创始人马克思--成长必读影响一生的世界名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,15.00,1,15,少年儿童0义的创,75148053200015000000
9787500788164,少年特种兵--噩梦成双445000000响,18.00,1,18,中国少年0--噩,75007881600018000000
9787514806304,深情密码--儿童文学30480000,19.00,1,19,少年儿童0-儿童,75148063000019000000
9787500791133,杨红樱校园小说--小男生杜歌飞00000响一生的世界名人,16.00,1,16,中国少年0小说-,75007911300016000000
9787500794943,儿童文学百万纪念文集[童话卷]00000响一生的世界名人,36.00,1,36,中国少年0万纪念,75007949400036000000
9787500794783,月球探险--丁丁历险记埃尔热000000响一生的世界,20.00,1,20,中国少年0-丁丁,75007947800020000000
9787500791034,中华人物故事全书(美绘版)--文学大家0响一生的世界名人美绘版]_x0000__x0000_,24.50,1,24.5,中国少年0事全书,75007910300024500000
9787500786313,克雷洛夫寓言--语文新课标必读丛书000响一生的世界名人美绘版],21.00,1,21,中国少年0言--,75007863100021000000
9787500797531,可爱的动物--奇趣动物丛书1000000响一生的,23.00,1,23,中国少年0--奇,75007975300023000000
9787514801224,我的小学向前冲(数学故事)3000000响一生的,18.00,1,18,少年儿童0前冲(,75148012200018000000
